
seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 356.29221 	 3.32983 	 59.15 	 2.85 	 2.39 	 2.00 	 2.59 	 0.90 	 0.00 	 0.23 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 320.55500 	 2.99584 	 70.46 	 2.91 	 2.26 	 2.57 	 2.59 	 0.90 	 0.00 	 0.21 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 320.55500 	 2.99584 	 70.46 	 2.91 	 2.26 	 2.57 	 2.59 	 0.90 	 0.00 	 0.21 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 320.55500 	 2.99584 	 70.46 	 2.91 	 2.26 	 2.57 	 2.59 	 0.90 	 0.00 	 0.21 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 320.55500 	 2.99584 	 70.46 	 2.91 	 2.26 	 2.57 	 2.59 	 0.90 	 0.00 	 0.21 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 320.55500 	 2.99584 	 70.46 	 2.91 	 2.26 	 2.57 	 2.59 	 0.90 	 0.00 	 0.21 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 298.66346 	 2.87176 	 64.57 	 2.23 	 0.70 	 0.95 	 3.00 	 2.30 	 2.00 	 0.23 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 356.29221 	 3.32983 	 59.15 	 2.85 	 2.39 	 2.00 	 2.59 	 0.90 	 0.00 	 0.23 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 362.39024 	 3.38682 	 59.02 	 2.78 	 2.32 	 2.00 	 2.59 	 0.90 	 0.00 	 0.20 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 277.34767 	 2.59203 	 40.02 	 2.36 	 1.34 	 2.00 	 2.59 	 0.90 	 0.00 	 0.22 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 286.22503 	 2.67500 	 36.12 	 2.31 	 1.18 	 2.00 	 2.59 	 0.90 	 0.00 	 0.23 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 275.25192 	 2.57245 	 37.73 	 2.33 	 1.24 	 2.00 	 2.59 	 0.90 	 0.00 	 0.23 	 True

seed 	 chi**2 	 red.chi**2 	 B(M1) 	 E03 	 Gamma03 	 sigma03 	 E04 	 Gamma04 	 sigma04	 T 	 resultsucess
 124 	 290.65609 	 2.71641 	 38.01 	 2.34 	 1.26 	 2.00 	 2.59 	 0.90 	 0.00 	 0.23 	 True
